iD_EQ,TYPE,SS_TYPE,LIBELLE_EQ,ACCES,VOIE,QUARTIER,COMMUNE,CODE_POST,CODE_INSEE,X_L93,Y_L93,X_WGS84,Y_WGS84
45,Sports et Loisirs,Centre de loisirs élémentaire,Centre de loisirs du Petit Nanterre,243 av de la Commune de Paris,Commune de Paris (avenue de la),République,NANTERRE,92000,92050,642033.028062969,6867747.48967295,2.20919675034266,48.9071130796612
528,Sports et Loisirs,Centre de loisirs élémentaire,Centre de loisirs élémentaire Abdelmalek Sayad,56 r Abdelmalek Sayad,Sayad (rue Abdelmalek),Vieux-Pont - Sainte-Geneviève,NANTERRE,92000,92050,640951.45607125,6865491.54706449,2.19475646606688,48.8867283969026
531,Sports et Loisirs,Centre de loisirs élémentaire,Centre de loisirs élémentaire Anatole France,162 av de la République,République (avenue de la),République,NANTERRE,92000,92050,642002.549989454,6867222.05292011,2.20885280442336,48.9023854153367
47,Sports et Loisirs,Centre de loisirs élémentaire,Centre de loisirs élémentaire Antoine Riou,2 pas Antoine Riou,Riou (passage Antoine),Plateau - Mont-Valérien,NANTERRE,92000,92050,642545.780614868,6865347.70482953,2.21651624619924,48.8855791288255
530,Sports et Loisirs,Centre de loisirs élémentaire,Centre de loisirs élémentaire Jean de la Fontaine,5 r de l'Agriculture,Agriculture (rue de l'),Petit Nanterre,NANTERRE,92000,92050,643130.372925796,6868160.82930296,2.22411068706137,48.9109278649359
388,Sports et Loisirs,Centre de loisirs élémentaire,Centre de loisirs élémentaire Lucie Aubrac,1 all de Savoie,Savoie (allée de),Université,NANTERRE,92000,92050,642762.078567602,6866886.24547473,2.21925819704235,48.8994336836034
529,Sports et Loisirs,Centre de loisirs élémentaire,Centre de loisirs élémentaire Pablo Néruda,18 r Pablo Neruda,Neruda (rue Pablo),Parc Nord,NANTERRE,92000,92050,642597.566425398,6866436.96069742,2.21707511248419,48.8953788711338
50,Sports et Loisirs,Centre de loisirs élémentaire,Centre de loisirs élémentaire Rouget de Lisle,20 r Rouget de Lisle,Rouget de Lisle (rue),République,NANTERRE,92000,92050,641462.804569617,6866697.62892096,2.20156293263968,48.8976207300007
52,Sports et Loisirs,Centre de loisirs élémentaire,Centre de loisirs élémentaire de l'Etang,5 all de l'Etang,Etang (allée de l'),Parc Sud,NANTERRE,92000,92050,642655.022142515,6865989.14404904,2.2179192060643,48.8913570146222
48,Sports et Loisirs,Centre de loisirs élémentaire,Centre de loisirs élémentaire des Bizis,12 bd Honoré de Balzac,Balzac (boulevard Honoré de),Université,NANTERRE,92000,92050,642056.405338302,6866439.99933964,2.20969416876955,48.8953577161965
51,Sports et Loisirs,Centre de loisirs élémentaire,Centre de loisirs élémentaire des Damades,59 r Paul Vaillant-Couturier,Vaillant-Couturier (rue Paul),Plateau - Mont-Valérien,NANTERRE,92000,92050,641580.743085407,6865252.1221206,2.20337039092607,48.8846327671097
53,Sports et Loisirs,Centre de loisirs élémentaire,Centre de loisirs élémentaire des Fontenelles,40 r des Ecoles,Ecoles (rue des),Parc Sud,NANTERRE,92000,92050,642659.819562674,6865465.38562037,2.21805536385989,48.8866475420768
56,Sports et Loisirs,Centre de loisirs élémentaire,Centre de loisirs élémentaire des Gavroches,2 r Morelly,Morelly (rue),Vieux-Pont - Sainte-Geneviève,NANTERRE,92000,92050,640196.471631385,6865798.89960305,2.18441819963075,48.889422576563
58,Sports et Loisirs,Centre de loisirs élémentaire,Centre de loisirs élémentaire des Hauts Gibets,2 ch des Hauts Gibets,Hauts Gibets (chemin des),Plateau - Mont-Valérien,NANTERRE,92000,92050,641283.96963542,6864776.37908912,2.19938951440035,48.8803276371644
55,Sports et Loisirs,Centre de loisirs élémentaire,Maison de l'enfance,30 r des Aubépines,Aubépines (rue des),Petit Nanterre,NANTERRE,92000,92050,642997.456481934,6868046.93874386,2.22231268846501,48.909891964624
251,Sports et Loisirs,Clubs séniors,Club Amitié et Loisirs des Séniors (salle d'activités du square),22 av Louis Meunier,Meunier (avenue Louis),Centre,NANTERRE,92000,92050,641299.560650244,6866185.35012711,2.19940730869524,48.8929992336049
246,Sports et Loisirs,Clubs séniors,Salle d'activité des Muguets,354 av de la République,République (avenue de la),Petit Nanterre,NANTERRE,92000,92050,642818.680385128,6868109.09997525,2.21986542111429,48.9104350806199
309,Sports et Loisirs,Espace Jeunesse,Espace Arts Plastiques Thomas Lemaître,71 r Thomas Lemaître,Lemaître (rue Thomas),Vieux-Pont - Sainte-Geneviève,NANTERRE,92000,92050,640421.314031839,6866015.41349747,2.18745392950558,48.8913904135402
313,Sports et Loisirs,Espace Jeunesse,Espace Jeunesse Picasso,118 ter av Pablo Picasso,Picasso (avenue Pablo),Parc Sud,NANTERRE,92000,92050,643206.790277623,6865625.81610651,2.22549243205532,48.8881386946793
316,Sports et Loisirs,Espace Jeunesse,Espace Jeunesse de l'Université,10 bd Jules Mansart,Mansart (boulevard Jules),Université,NANTERRE,92000,92050,642257.365975946,6866794.87553689,2.21238665691156,48.8985669725137
310,Sports et Loisirs,Espace Jeunesse,Espace Jeunesse du Chemin de l'Ile,61 bd du Général Leclerc,Leclerc (boulevard du Général),Chemin de l'Ile,NANTERRE,92000,92050,640767.705052949,6866782.95569974,2.19207064728639,48.8983244414143
314,Sports et Loisirs,Espace Jeunesse,Espace Jeunesse du Petit Nanterre,20 r des Pâquerettes,Pâquerettes (rue des),Petit Nanterre,NANTERRE,92000,92050,642443.910143055,6867828.48373125,2.21479077184011,48.9078782796341
308,Sports et Loisirs,Espace Jeunesse,Espace Jeunesse du Vieux-Pont,71 r Thomas Lemaître,Lemaître (rue Thomas),Vieux-Pont - Sainte-Geneviève,NANTERRE,92000,92050,640406.450713128,6866012.61389133,2.18725162788168,48.8913638626291
288,Sports et Loisirs,Gymnase ou Complexe Sportif,Centre sportif Voltaire,44 r de l'Union,Union (rue de l'),Chemin de l'Ile,NANTERRE,92000,92050,640890.137066975,6867036.18152348,2.19370523751742,48.9006128004151
284,Sports et Loisirs,Gymnase ou Complexe Sportif,Complexe sportif Paul Eluard,24 r Salvador Allende,Allende (rue Salvador),Parc Nord,NANTERRE,92000,92050,642757.776079521,6866479.50701229,2.21925436834463,48.89577573188
283,Sports et Loisirs,Gymnase ou Complexe Sportif,Complexe sportif Paul Vaillant Couturier,all des Marronniers,Marronniers (allée des),Plateau - Mont-Valérien,NANTERRE,92000,92050,641471.878828101,6865144.59243694,2.20190079310706,48.8836559176559
453,Sports et Loisirs,Gymnase ou Complexe Sportif,Complexe sportif Université Paris Ouest Nanterre La Défense,200 av de la République,République (avenue de la),Université,NANTERRE,92000,92050,642323.326771669,6867373.59770539,2.21320765460722,48.903776986229
275,Sports et Loisirs,Gymnase ou Complexe Sportif,Complexe sportif des Chenevreux,22 r de Suresnes,Suresnes (rue de),Plateau - Mont-Valérien,NANTERRE,92000,92050,642031.385189615,6865350.24258103,2.20950172995089,48.8855558452344
281,Sports et Loisirs,Gymnase ou Complexe Sportif,Gymnase Evariste Galois,5 r des Ecoles,Ecoles (rue des),Parc Sud,NANTERRE,92000,92050,642770.163033769,6865452.4087154,2.21956176214292,48.8865406639475
285,Sports et Loisirs,Gymnase ou Complexe Sportif,Gymnase Jean de La Fontaine,5 r de l'Agriculture,Agriculture (rue de l'),Petit Nanterre,NANTERRE,92000,92050,643194.868313603,6868135.07442709,2.22499400901612,48.9107019642336
280,Sports et Loisirs,Gymnase ou Complexe Sportif,Gymnase Léo Lagrange,10 r des Aubépines,Aubépines (rue des),Petit Nanterre,NANTERRE,92000,92050,642761.002626471,6868009.22934802,2.21909203948408,48.9095318837064
279,Sports et Loisirs,Gymnase ou Complexe Sportif,Gymnase Pablo Picasso,75 av Pablo Picasso,Picasso (avenue Pablo),Parc Sud,NANTERRE,92000,92050,642963.008312598,6865818.04834919,2.22214228846502,48.8898457955565
273,Sports et Loisirs,Gymnase ou Complexe Sportif,Gymnase Paul Langevin,4 r Morelly,Morelly (rue),Vieux-Pont - Sainte-Geneviève,NANTERRE,92000,92050,640172.814484239,6865825.27970742,2.18409187656752,48.8896576008083
278,Sports et Loisirs,Gymnase ou Complexe Sportif,Gymnase Pierre de Coubertin,31 bd du Midi,Midi (boulevard du),Vieux-Pont - Sainte-Geneviève,NANTERRE,92000,92050,640741.773827314,6865947.88822383,2.19183354359859,48.8908127704347
277,Sports et Loisirs,Gymnase ou Complexe Sportif,Gymnase Romain Rolland,194 r de Suresnes,Suresnes (rue de),Plateau - Mont-Valérien,NANTERRE,92000,92050,642642.092511818,6864819.96033148,2.21790081150631,48.8808419459523
286,Sports et Loisirs,Gymnase ou Complexe Sportif,Gymnase République,6 r Anatole France,France (rue Anatole),République,NANTERRE,92000,92050,641876.240603268,6867178.50242594,2.20713589002634,48.9019823996903
276,Sports et Loisirs,Gymnase ou Complexe Sportif,Gymnase Victor Hugo,32 r Marcelin Berthelot,Berthelot (rue Marcelin),Centre,NANTERRE,92000,92050,641728.662715338,6866311.00660529,2.20524202122954,48.8941681745606
274,Sports et Loisirs,Gymnase ou Complexe Sportif,Palais des Sports Maurice Thorez,136 av Frédéric et Irène Joliot Curie,Joliot Curie (avenue Frédéric et Irène),La Boule - Champs Pierreux,NANTERRE,92000,92050,642182.166207716,6866058.19100856,2.21146133798057,48.8919356274323
287,Sports et Loisirs,Gymnase ou Complexe Sportif,Tennis Michel Jacquet,138 r de Garches,Garches (rue de),Plateau - Mont-Valérien,NANTERRE,92000,92050,641552.10998515,6864544.67632953,2.20307732301058,48.8782684278814
291,Sports et Loisirs,Piscine,Piscine Paul Vaillant Couturier,all des Marronniers,Marronniers (allée des),Plateau - Mont-Valérien,NANTERRE,92000,92050,641465.436872929,6865135.86994269,2.20181415778565,48.8835768948029
290,Sports et Loisirs,Piscine,Piscine Université Paris Ouest Nanterre La Défense,200 av de la République,République (avenue de la),Université,NANTERRE,92000,92050,642364.842695184,6867343.48781039,2.21377804334535,48.9035099453011
289,Sports et Loisirs,Piscine,Piscine du Palais des Sports,136 av Frédéric et Irène Joliot Curie,Joliot Curie (avenue Frédéric et Irène),La Boule - Champs Pierreux,NANTERRE,92000,92050,642167.458808258,6866026.74760417,2.21126505034316,48.8916515524966
292,Sports et Loisirs,Stade,Stade Gabriel Péri,136 av Frédéric et Irène Joliot Curie,Joliot Curie (avenue Frédéric et Irène),La Boule - Champs Pierreux,NANTERRE,92000,92050,642067.549923502,6865990.23268284,2.20990754113534,48.8913142107851
294,Sports et Loisirs,Stade,Stade Jean Guimier,107 av Pablo Picasso,Picasso (avenue Pablo),Parc Sud,NANTERRE,92000,92050,643106.575947203,6865781.75721431,2.22410496859815,48.8895321496737
293,Sports et Loisirs,Stade,Stade des Bords de Seine,135 av de la Commune de Paris,Commune de Paris (avenue de la),République,NANTERRE,92000,92050,642012.667703316,6867647.88194829,2.20893261980389,48.9062155382779
6,Vie Administrative,Collectivité territoriale,Antenne de mairie de quartier du Vieux-Pont,71 r Thomas Lemaître,Lemaître (rue Thomas),Vieux-Pont - Sainte-Geneviève,NANTERRE,92000,92050,640413.585214756,6865999.6317859,2.18735074481331,48.8912477820335
394,Vie Administrative,Collectivité territoriale,Communauté d'Agglomération du Mont-Valérien (CAMV),1 pl de la Boule,Boule (place de la),Centre,NANTERRE,92000,92050,641322.144683376,6865574.03911033,2.19979979063962,48.8875040945101
11,Vie Administrative,Collectivité territoriale,Hôtel de Ville,88 r du 8 Mai 1945,8 Mai 1945 (rue du),Centre,NANTERRE,92000,92050,641859.767866537,6866091.22104425,2.20706013447317,48.8922036155416
14,Vie Administrative,Collectivité territoriale,Hôtel de Ville - Tour A,130 r du 8 Mai 1945,8 Mai 1945 (rue du),Centre,NANTERRE,92000,92050,641918.484160855,6866115.30401247,2.2078575822588,48.892425480512
13,Vie Administrative,Collectivité territoriale,Hôtel du département,2 bd Jacques-Germain Soufflot,Soufflot (boulevard Jacques-Germain),Université,NANTERRE,92000,92050,642437.591380611,6866757.03109384,2.21484991363958,48.8982427999138
12,Vie Administrative,Collectivité territoriale,Hôtel du département (Annexe),bd Emile Zola,Zola (boulevard Emile),Université,NANTERRE,92000,92050,642412.827997908,6866464.93572266,2.21455179359013,48.8956139364641
358,Vie Administrative,Collectivité territoriale,Mairie de quartier des Terrasses,215 tsse de l'Arche,Arche (terrasse de l'),Parc Nord,NANTERRE,92000,92050,642978.999138005,6866630.01210463,2.2222512888208,48.8971487733547
10,Vie Administrative,Collectivité territoriale,Mairie de quartier du Chemin de l'Ile,8 bd du Général Leclerc,Leclerc (boulevard du Général),Chemin de l'Ile,NANTERRE,92000,92050,640994.163057782,6866674.67621963,2.19517437651743,48.8973715454135
8,Vie Administrative,Collectivité territoriale,Mairie de quartier du Parc,118 av Pablo Picasso,Picasso (avenue Pablo),Parc Sud,NANTERRE,92000,92050,643172.490372941,6865606.48592684,2.22502729019156,48.88796184127
7,Vie Administrative,Collectivité territoriale,Mairie de quartier du Petit Nanterre,4 pl des Muguets,Muguets (place des),Petit Nanterre,NANTERRE,92000,92050,642844.374628901,6868109.67752386,2.22021587149427,48.9104425564316
9,Vie Administrative,Collectivité territoriale,Mairie de quartier du Plateau - Mont-Valérien,207 r Paul Vaillant-Couturier,Vaillant-Couturier (rue Paul),Plateau - Mont-Valérien,NANTERRE,92000,92050,641891.270444579,6864732.40232418,2.20767569895579,48.8799872604806
15,Vie Administrative,Consulat,Consulat d'Algérie,63 av Georges Clemenceau,Clemenceau (avenue Georges),La Boule - Champs Pierreux,NANTERRE,92000,92050,641747.326994814,6865517.54619078,2.20560543408373,48.8870346892383
31,Vie Administrative,Institutions,Archives départementales,137 av Frédéric et Irène Joliot Curie,Joliot Curie (avenue Frédéric et Irène),Université,NANTERRE,92000,92050,642287.809843265,6866363.46751149,2.21286054294807,48.8946902936274
34,Vie Administrative,Institutions,Centre des finances publiques - Nanterre Tivoli,235 av Georges Clemenceau,Clemenceau (avenue Georges),Parc Sud,NANTERRE,92000,92050,642713.808386832,6865398.77647724,2.21880054442279,48.8860533632108
381,Vie Administrative,Institutions,Centre des finances publiques - Trésorerie municipale de Nanterre,73 r Henri Barbusse,Barbusse (rue Henri),Vieux-Pont - Sainte-Geneviève,NANTERRE,92000,92050,640579.484893389,6866053.81852151,2.18960556843466,48.8917503862189
28,Vie Administrative,Institutions,Chambre de Commerce et d'Industrie de Paris,6 r des Trois Fontanot,Trois Fontanot (rue des),Parc Nord,NANTERRE,92000,92050,642715.285994463,6866577.63003214,2.21866162738277,48.8966543183493
27,Vie Administrative,Institutions,Chambre des Métiers et de l'Artisanat,17 bis r des Venêts,Venêts (rue des),Centre,NANTERRE,92000,92050,641571.577196889,6865875.53580611,2.20315962423973,48.8902379830789
24,Vie Administrative,Institutions,"Direction Départementale du Travail, de l'Emploi et de la Formation Professionnelle (DDTEFP)",13 r de Lens,Lens (rue de),Parc Nord,NANTERRE,92000,92050,643116.129448228,6866915.02264057,2.2240833845983,48.8997238433361
33,Vie Administrative,Institutions,Direction des Services Fiscaux,167 av Frédéric et Irène Joliot Curie,Joliot Curie (avenue Frédéric et Irène),Université,NANTERRE,92000,92050,642528.964294925,6866652.03830799,2.21611037290154,48.897306823505
32,Vie Administrative,Institutions,Inspection Académique,167 av Frédéric et Irène Joliot Curie,Joliot Curie (avenue Frédéric et Irène),Université,NANTERRE,92000,92050,642529.247852445,6866641.06424121,2.21611572619954,48.8972081652453
25,Vie Administrative,Institutions,Préfecture des Hauts-de-Seine,167 av Frédéric et Irène Joliot Curie,Joliot Curie (avenue Frédéric et Irène),Université,NANTERRE,92000,92050,642530.535971209,6866630.30547301,2.2161347513222,48.8971115327143
353,Vie Associative,Maison des associations,Maison André Davergne,11 r des Anciennes Mairies,Anciennes Mairies (rue des),Centre,NANTERRE,92000,92050,641182.985648528,6866058.86438544,2.1978350206788,48.8918511770362
354,Vie Associative,Maison des associations,Maison des Associations Sadi Carnot,27 r Sadi Carnot,Sadi Carnot (rue),Centre,NANTERRE,92000,92050,641544.447595589,6865781.21214493,2.20280264555143,48.8893873168554
352,Vie Associative,Maison des associations,Maison des Associations du Parc des Anciennes Mairies,11 r des Anciennes Mairies,Anciennes Mairies (rue des),Centre,NANTERRE,92000,92050,641177.387128353,6866060.92699797,2.19775838575947,48.8918692135099
248,Vie Associative,Salle polyvalente,Maison de quartier Berthelot,3 all du Colonel Fabien,Fabien (allée du Colonel),Université,NANTERRE,92000,92050,642064.658125021,6866470.98651837,2.20980249354783,48.8956371093291
250,Vie Associative,Salle polyvalente,Maison du Chemin de l'Ile,57 bd du Général Leclerc,Leclerc (boulevard du Général),Chemin de l'Ile,NANTERRE,92000,92050,640768.315639041,6866751.44984489,2.19208337190885,48.8980411843754
428,Vie Associative,Salle polyvalente,Salle de l'antenne de quartier Anatole France,176 bis av de la République,République (avenue de la),République,NANTERRE,92000,92050,641901.429996386,6867300.95138962,2.20746271028299,48.9030857814328
319,Vie Associative,Salle polyvalente,Salle de l'école Elsa Triolet,130 r Salvador Allende,Allende (rue Salvador),Parc Nord,NANTERRE,92000,92050,643186.283878125,6866182.45569167,2.22513830840269,48.8931424663235
341,Vie Associative,Salle polyvalente,Salle de l'école La Fontaine,5 r de l'Agriculture,Agriculture (rue de l'),Petit Nanterre,NANTERRE,92000,92050,643199.656942263,6868135.3264619,2.22505930348137,48.9107046532478
331,Vie Associative,Salle polyvalente,Salle de l'école des Pâquerettes,10 r des Aubépines,Aubépines (rue des),Petit Nanterre,NANTERRE,92000,92050,642694.506623641,6867925.41888736,2.21819621863301,48.9087723144929
330,Vie Associative,Salle polyvalente,Salle de la MJ des Pâquerettes,20 r des Pâquerettes,Pâquerettes (rue des),Petit Nanterre,NANTERRE,92000,92050,642438.560781598,6867838.8633781,2.21471638975019,48.9079711386172
430,Vie Associative,Salle polyvalente,Salle de la Maison des Associations,11 r des Anciennes Mairies,Anciennes Mairies (rue des),Centre,NANTERRE,92000,92050,641174.375021383,6866046.21682689,2.19771934681339,48.8917366577077
249,Vie Associative,Salle polyvalente,Salle de la Source,100 r de la Source,Source (rue de la),Plateau - Mont-Valérien,NANTERRE,92000,92050,641871.919379808,6865113.47255497,2.20735970460408,48.8834123078116
326,Vie Associative,Salle polyvalente,Salle de la mairie de quartier du Parc,118 av Pablo Picasso,Picasso (avenue Pablo),Parc Sud,NANTERRE,92000,92050,643177.026490167,6865606.48592684,2.22508914652438,48.8879622416091
328,Vie Associative,Salle polyvalente,Salle de la mairie de quartier du Petit Nanterre,4 pl des Muguets,Muguets (place des),Petit Nanterre,NANTERRE,92000,92050,642843.718371443,6868117.96416175,2.22020580219271,48.9105170143345
318,Vie Associative,Salle polyvalente,Salle de la mairie de quartier du Plateau - Mont-Valérien,207 r Paul Vaillant-Couturier,Vaillant-Couturier (rue Paul),Plateau - Mont-Valérien,NANTERRE,92000,92050,641889.530822344,6864733.99201112,2.20765176294898,48.8800013988662
337,Vie Associative,Salle polyvalente,Salle de quartier Anatole France,7 r Anatole France,France (rue Anatole),République,NANTERRE,92000,92050,642038.698762849,6867245.56792531,2.20934266756688,48.90260012728
332,Vie Associative,Salle polyvalente,Salle de quartier Joliot Curie,15 r de la Côte des Amandiers,Côte des Amandiers (rue de la),La Boule - Champs Pierreux,NANTERRE,92000,92050,641734.372191809,6865723.80396163,2.20540047699383,48.8888882897276
320,Vie Associative,Salle polyvalente,Salle de quartier Le Corbusier,49 esp Charles de Gaulle,Gaulle (esplanade Charles de),Parc Nord,NANTERRE,92000,92050,643019.41904816,6866301.55779584,2.22284665935175,48.8941987417464
339,Vie Associative,Salle polyvalente,Salle de quartier Romain Rolland,1 r Romain Rolland,Rolland (rue Romain),Plateau - Mont-Valérien,NANTERRE,92000,92050,642638.723427095,6864878.34309747,2.21784699047318,48.8813666568783
333,Vie Associative,Salle polyvalente,Salle de quartier Soufflot,17 bd Jacques-Germain Soufflot,Soufflot (boulevard Jacques-Germain),Université,NANTERRE,92000,92050,642356.014578946,6866653.90017541,2.21375128764552,48.897308103051
323,Vie Associative,Salle polyvalente,Salle de quartier Voltaire,35 r Voltaire,Voltaire (rue),Chemin de l'Ile,NANTERRE,92000,92050,640921.897115327,6866868.13456236,2.19416182645413,48.8991045725875
338,Vie Associative,Salle polyvalente,Salle de quartier des Gavroches,2 r Morelly,Morelly (rue),Vieux-Pont - Sainte-Geneviève,NANTERRE,92000,92050,640198.510552906,6865803.55999929,2.18444534740875,48.8894646743783
429,Vie Associative,Salle polyvalente,Salle de quartier des Terrasses,12 bd des Bouvets,Bouvets (boulevard des),Parc Nord,NANTERRE,92000,92050,642985.774228141,6866643.02496969,2.22234194500749,48.8972663908515
340,Vie Associative,Salle polyvalente,Salle de quartier des Tulipes,2 res des Tulipes,Tulipes (résidence des),Petit Nanterre,NANTERRE,92000,92050,643020.016353965,6868136.4221439,2.22260843482173,48.9106986269249
327,Vie Associative,Salle polyvalente,Salle de quartier du Plateau,227 av Georges Clemenceau,Clemenceau (avenue Georges),Parc Sud,NANTERRE,92000,92050,642564.228310354,6865428.69773871,2.21675683956938,48.8863091056104
324,Vie Associative,Salle polyvalente,Salle des Guignons,7 bd du Général Leclerc,Leclerc (boulevard du Général),Chemin de l'Ile,NANTERRE,92000,92050,640985.918506764,6866623.04281731,2.19506910952768,48.8969064808975
329,Vie Associative,Salle polyvalente,Salle des Iris,7 res des Iris,Iris (résidence des),Petit Nanterre,NANTERRE,92000,92050,642668.433993042,6867832.08399342,2.21785315228373,48.9079306930118
325,Vie Associative,Salle polyvalente,Salle du Parc des Anciennes Mairies,11 r des Anciennes Mairies,Anciennes Mairies (rue des),Centre,NANTERRE,92000,92050,641066.706110232,6865999.29861993,2.19625754184308,48.8913049010668
252,Vie Associative,Salle polyvalente,Salle du Plateau,72 rte des Fusillés de la Résistance,Fusillés de la Résistance (route des),Plateau - Mont-Valérien,NANTERRE,92000,92050,642863.070467822,6864853.10493736,2.22090928396583,48.8811596461773
322,Vie Associative,Salle polyvalente,Salles de quartier Jacques Decour,r des Rosiers,Rosiers (rue des),Parc Sud,NANTERRE,92000,92050,643242.840608642,6865468.05061511,2.22600511915775,48.8867231632698
317,Vie Associative,Salle polyvalente,Salles de quartier Maxime Gorki,70 bd de Pesaro,Pesaro (boulevard de),Parc Sud,NANTERRE,92000,92050,643419.16946096,6865952.66412719,2.22834497409821,48.8910965771564
